IFNOISE  = 1
IFSCINT  = 0
IFCOSRAY = 0
VARSEE   = 2
IFVAR    = 0
IFGRAY   = 1
RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0211  2.07778 1.36757 1.00000 1.00000 1.00000 0.03000 1.30000 2.41323 1.02679
0212  2.08889 1.07958 1.00000 1.00000 1.00000 0.03000 1.30000 2.09403 1.02944
0213  2.10000 1.33170 1.00000 1.00000 1.00000 0.03000 1.30000 2.37505 1.00573
0214  2.11111 1.58694 1.00000 1.00000 1.00000 0.03000 1.30000 2.63856 1.03665
0215  2.12222 1.07425 1.00000 1.00000 1.00000 0.03000 1.30000 2.08782 1.03769
0216  2.13333 1.01957 1.00000 1.00000 1.00000 0.03000 1.30000 2.02339 1.03219
0217  2.14444 1.16611 1.00000 1.00000 1.00000 0.03000 1.30000 2.19317 1.00156
0218  2.15556 1.81117 1.00000 1.00000 1.00000 0.03000 1.30000 2.85631 1.02753
0219  2.31806 1.42428 1.00000 1.00000 1.00000 0.03000 1.30000 2.47279 1.04917
0220  2.32917 1.09868 1.00000 1.00000 1.00000 0.03000 1.30000 2.11618 1.00174
0221  2.34028 1.29038 1.00000 1.00000 1.00000 0.03000 1.30000 2.33056 1.00338
0222  2.35139 1.69411 1.00000 1.00000 1.00000 0.03000 1.30000 2.74407 1.04327
0223  2.36250 1.07812 1.00000 1.00000 1.00000 0.03000 1.30000 2.09233 1.01238
0224  2.37361 1.01029 1.00000 1.00000 1.00000 0.03000 1.30000 2.01232 1.02945
0225  2.38472 1.20562 1.00000 1.00000 1.00000 0.03000 1.30000 2.23747 1.00266
0226  2.39583 1.97246 1.00000 1.00000 1.00000 0.03000 1.30000 3.00631 1.01729
0227  2.55833 1.49200 1.00000 1.00000 1.00000 0.03000 1.30000 2.54268 1.01030
0228  2.56944 1.12230 1.00000 1.00000 1.00000 0.03000 1.30000 2.14336 1.03116
0229  2.58056 1.25635 1.00000 1.00000 1.00000 0.03000 1.30000 2.29348 1.01657
0230  2.59167 1.82382 1.00000 1.00000 1.00000 0.03000 1.30000 2.86826 1.01290
0231  2.60278 1.08590 1.00000 1.00000 1.00000 0.03000 1.30000 2.10138 1.03153
0232  2.61389 1.00407 1.00000 1.00000 1.00000 0.03000 1.30000 2.00488 1.00622
0233  2.62500 1.25192 1.00000 1.00000 1.00000 0.03000 1.30000 2.28863 1.03696
0234  2.63611 2.17113 1.00000 1.00000 1.00000 0.03000 1.30000 3.18450 1.02941
0235  2.79861 1.57297 1.00000 1.00000 1.00000 0.03000 1.30000 2.62459 1.01954
0236  2.80972 1.15089 1.00000 1.00000 1.00000 0.03000 1.30000 2.17596 1.00852
0237  2.82083 1.22878 1.00000 1.00000 1.00000 0.03000 1.30000 2.26315 1.04003
0238  2.83194 1.98265 1.00000 1.00000 1.00000 0.03000 1.30000 3.01563 1.02312
0239  2.84306 1.09773 1.00000 1.00000 1.00000 0.03000 1.30000 2.11508 1.03387
0240  2.85417 1.00083 1.00000 1.00000 1.00000 0.03000 1.30000 2.00100 1.02005
0241  2.86528 1.30606 1.00000 1.00000 1.00000 0.03000 1.30000 2.34751 1.03171
0242  2.87639 2.42040 1.00000 1.00000 1.00000 0.03000 1.30000 3.39908 1.03020
0243  3.03889 1.67013 1.00000 1.00000 1.00000 0.03000 1.30000 2.72070 1.00320
0244  3.05000 1.18503 1.00000 1.00000 1.00000 0.03000 1.30000 2.21446 1.04192
0245  3.06111 1.20705 1.00000 1.00000 1.00000 0.03000 1.30000 2.23905 1.03604
0246  3.07222 2.18011 1.00000 1.00000 1.00000 0.03000 1.30000 3.19240 1.02173
0247  3.08333 1.11382 1.00000 1.00000 1.00000 0.03000 1.30000 2.13362 1.03326
0248  3.09444 1.00052 1.00000 1.00000 1.00000 0.03000 1.30000 2.00062 1.04283
0249  3.10556 1.36941 1.00000 1.00000 1.00000 0.03000 1.30000 2.41518 1.02989
0250  3.11667 2.74052 1.00000 1.00000 1.00000 0.03000 1.30000 3.66210 1.04121
0251  3.27917 1.78752 1.00000 1.00000 1.00000 0.03000 1.30000 2.83388 1.00432
0252  3.29028 1.22544 1.00000 1.00000 1.00000 0.03000 1.30000 2.25946 1.03207
0253  3.30139 1.19068 1.00000 1.00000 1.00000 0.03000 1.30000 2.22079 1.03756
0254  3.31250 2.43041 1.00000 1.00000 1.00000 0.03000 1.30000 3.40752 1.02141
0255  3.32361 1.13446 1.00000 1.00000 1.00000 0.03000 1.30000 2.15727 1.00419
0256  3.33472 1.00313 1.00000 1.00000 1.00000 0.03000 1.30000 2.00376 1.00282
0257  3.34583 1.44372 1.00000 1.00000 1.00000 0.03000 1.30000 2.49298 1.02311
0258  3.50694 1.92253 1.00000 1.00000 1.00000 0.03000 1.30000 2.96042 1.00039
0259  3.51806 1.27035 1.00000 1.00000 1.00000 0.03000 1.30000 2.30879 1.04245
0260  3.52917 1.17981 1.00000 1.00000 1.00000 0.03000 1.30000 2.20860 1.02155
0261  3.54028 2.73650 1.00000 1.00000 1.00000 0.03000 1.30000 3.65888 1.00660
0262  3.55139 1.15861 1.00000 1.00000 1.00000 0.03000 1.30000 2.18470 1.00634
0263  3.56250 1.00834 1.00000 1.00000 1.00000 0.03000 1.30000 2.01000 1.03107
0264  3.57361 1.52633 1.00000 1.00000 1.00000 0.03000 1.30000 2.57762 1.02090
0265  3.73472 2.08742 1.00000 1.00000 1.00000 0.03000 1.30000 3.11025 1.03277
0266  3.74583 1.32271 1.00000 1.00000 1.00000 0.03000 1.30000 2.36542 1.00706
0267  3.75694 1.17325 1.00000 1.00000 1.00000 0.03000 1.30000 2.20123 1.04439
0268  3.76806 1.18612 1.00000 1.00000 1.00000 0.03000 1.30000 2.21568 1.03698
0269  3.77917 1.01583 1.00000 1.00000 1.00000 0.03000 1.30000 2.01894 1.03715
0270  3.79028 1.61825 1.00000 1.00000 1.00000 0.03000 1.30000 2.66967 1.02260
0271  3.95139 2.28077 1.00000 1.00000 1.00000 0.03000 1.30000 3.28004 1.03892
0272  3.96250 1.38054 1.00000 1.00000 1.00000 0.03000 1.30000 2.42695 1.01642
0273  3.97361 1.17092 1.00000 1.00000 1.00000 0.03000 1.30000 2.19860 1.03518
0274  3.98472 1.21853 1.00000 1.00000 1.00000 0.03000 1.30000 2.25181 1.02902
0275  3.99583 1.02587 1.00000 1.00000 1.00000 0.03000 1.30000 2.03088 1.01970
