RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0183  1.16111 1.38554 1.00000 1.00000 1.00000 0.03000 1.30000 1.21611 1.00000
0184  1.32361 1.24462 1.00000 1.00000 1.00000 0.03000 1.30000 1.14031 1.00000
0185  1.33472 1.04567 1.00000 1.00000 1.00000 0.03000 1.30000 1.02716 1.00000
0186  1.34583 2.23023 1.00000 1.00000 1.00000 0.03000 1.30000 1.61812 1.00000
0187  1.35694 1.51891 1.00000 1.00000 1.00000 0.03000 1.30000 1.28505 1.02000
0188  1.36806 1.35447 1.00000 1.00000 1.00000 0.03000 1.30000 1.19967 1.00000
0189  1.37917 1.08665 1.00000 1.00000 1.00000 0.03000 1.30000 1.05112 1.02000
0190  1.39028 1.06931 1.00000 1.00000 1.00000 0.03000 1.30000 1.04103 1.02000
0191  1.40139 1.07862 1.00000 1.00000 1.00000 0.03000 1.30000 1.04645 1.00000
0192  1.41250 1.46656 1.00000 1.00000 1.00000 0.03000 1.30000 1.25829 1.00000
0193  1.57500 1.27760 1.00000 1.00000 1.00000 0.03000 1.30000 1.15834 1.00000
0194  1.58611 1.05284 1.00000 1.00000 1.00000 0.03000 1.30000 1.03137 1.00000
0195  1.59722 2.46242 1.00000 1.00000 1.00000 0.03000 1.30000 1.71718 1.00000
0196  1.60833 1.44376 1.00000 1.00000 1.00000 0.03000 1.30000 1.24652 1.02000
0197  1.61944 1.41960 1.00000 1.00000 1.00000 0.03000 1.30000 1.23396 1.00000
0198  1.63056 1.07829 1.00000 1.00000 1.00000 0.03000 1.30000 1.04627 1.02000
0199  1.64167 1.04869 1.00000 1.00000 1.00000 0.03000 1.30000 1.02894 1.02000
0200  1.65278 1.10300 1.00000 1.00000 1.00000 0.03000 1.30000 1.06058 1.00000
0201  1.66389 1.56290 1.00000 1.00000 1.00000 0.03000 1.30000 1.30725 1.00000
0202  1.82639 1.31821 1.00000 1.00000 1.00000 0.03000 1.30000 1.18029 1.00000
0203  1.83750 1.06407 1.00000 1.00000 1.00000 0.03000 1.30000 1.03796 1.00000
0204  1.84861 2.75027 1.00000 1.00000 1.00000 0.03000 1.30000 1.83495 1.00000
0205  1.85972 1.38136 1.00000 1.00000 1.00000 0.03000 1.30000 1.21390 1.02000
0206  1.87083 1.49763 1.00000 1.00000 1.00000 0.03000 1.30000 1.27422 1.00000
0207  1.88194 1.07422 1.00000 1.00000 1.00000 0.03000 1.30000 1.04389 1.02000
0208  1.89306 1.03204 1.00000 1.00000 1.00000 0.03000 1.30000 1.01910 1.02000
0209  1.90417 1.13252 1.00000 1.00000 1.00000 0.03000 1.30000 1.07752 1.00000
0210  1.91528 1.67830 1.00000 1.00000 1.00000 0.03000 1.30000 1.36434 1.00000
0211  2.07778 1.36757 1.00000 1.00000 1.00000 0.03000 1.30000 1.20662 1.00000
0212  2.08889 1.07958 1.00000 1.00000 1.00000 0.03000 1.30000 1.04702 1.00000
0213  2.10000 1.33170 1.00000 1.00000 1.00000 0.03000 1.30000 1.18753 1.02000
0214  2.11111 1.58694 1.00000 1.00000 1.00000 0.03000 1.30000 1.31928 1.00000
0215  2.12222 1.07425 1.00000 1.00000 1.00000 0.03000 1.30000 1.04391 1.00000
0216  2.13333 1.01957 1.00000 1.00000 1.00000 0.03000 1.30000 1.01170 1.02000
0217  2.14444 1.16611 1.00000 1.00000 1.00000 0.03000 1.30000 1.09659 1.00000
0218  2.15556 1.81117 1.00000 1.00000 1.00000 0.03000 1.30000 1.42816 1.00000
0219  2.31806 1.42428 1.00000 1.00000 1.00000 0.03000 1.30000 1.23639 1.00000
0220  2.32917 1.09868 1.00000 1.00000 1.00000 0.03000 1.30000 1.05809 1.00000
0221  2.34028 1.29038 1.00000 1.00000 1.00000 0.03000 1.30000 1.16528 1.02000
0222  2.35139 1.69411 1.00000 1.00000 1.00000 0.03000 1.30000 1.37203 1.00000
0223  2.36250 1.07812 1.00000 1.00000 1.00000 0.03000 1.30000 1.04617 1.00000
0224  2.37361 1.01029 1.00000 1.00000 1.00000 0.03000 1.30000 1.00616 1.02000
0225  2.38472 1.20562 1.00000 1.00000 1.00000 0.03000 1.30000 1.11873 1.00000
0226  2.39583 1.97246 1.00000 1.00000 1.00000 0.03000 1.30000 1.50316 1.00000
0227  2.55833 1.49200 1.00000 1.00000 1.00000 0.03000 1.30000 1.27134 1.00000
0228  2.56944 1.12230 1.00000 1.00000 1.00000 0.03000 1.30000 1.07168 1.00000
0229  2.58056 1.25635 1.00000 1.00000 1.00000 0.03000 1.30000 1.14674 1.02000
0230  2.59167 1.82382 1.00000 1.00000 1.00000 0.03000 1.30000 1.43413 1.00000
0231  2.60278 1.08590 1.00000 1.00000 1.00000 0.03000 1.30000 1.05069 1.00000
0232  2.61389 1.00407 1.00000 1.00000 1.00000 0.03000 1.30000 1.00244 1.02000
