RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing
0223  2.36250 1.07812 1.00000 1.00000 1.00000 0.03554 1.30000 1.04617 
0224  2.37361 1.01029 1.00000 1.00000 1.00000 0.03552 1.30000 1.00616 
0225  2.38472 1.20562 1.00000 1.00000 1.00000 0.03551 1.30000 1.11873 
0226  2.39583 1.97246 1.00000 1.00000 1.00000 0.03549 1.30000 1.50316 
0227  2.55833 1.49200 1.00000 1.00000 1.00000 0.03528 1.30000 1.27134 
0228  2.56944 1.12230 1.00000 1.00000 1.00000 0.03526 1.30000 1.07168 
0229  2.58056 1.25635 1.00000 1.00000 1.00000 0.03525 1.30000 1.14674 
0230  2.59167 1.82382 1.00000 1.00000 1.00000 0.03523 1.30000 1.43413 
0231  2.60278 1.08590 1.00000 1.00000 1.00000 0.03522 1.30000 1.05069 
0232  2.61389 1.00407 1.00000 1.00000 1.00000 0.03520 1.30000 1.00244 
0233  2.62500 1.25192 1.00000 1.00000 1.00000 0.03519 1.30000 1.14431 
0234  2.63611 2.17113 1.00000 1.00000 1.00000 0.03517 1.30000 1.59225 
0235  2.79861 1.57297 1.00000 1.00000 1.00000 0.03497 1.30000 1.31230 
0236  2.80972 1.15089 1.00000 1.00000 1.00000 0.03495 1.30000 1.08798 
0237  2.82083 1.22878 1.00000 1.00000 1.00000 0.03494 1.30000 1.13158 
0238  2.83194 1.98265 1.00000 1.00000 1.00000 0.03493 1.30000 1.50781 
0239  2.84306 1.09773 1.00000 1.00000 1.00000 0.03491 1.30000 1.05754 
0240  2.85417 1.00083 1.00000 1.00000 1.00000 0.03490 1.30000 1.00050 
0241  2.86528 1.30606 1.00000 1.00000 1.00000 0.03489 1.30000 1.17376 
0242  2.87639 2.42040 1.00000 1.00000 1.00000 0.03487 1.30000 1.69954 
0243  3.03889 1.67013 1.00000 1.00000 1.00000 0.03468 1.30000 1.36035 
0244  3.05000 1.18503 1.00000 1.00000 1.00000 0.03466 1.30000 1.10723 
0245  3.06111 1.20705 1.00000 1.00000 1.00000 0.03465 1.30000 1.11953 
0246  3.07222 2.18011 1.00000 1.00000 1.00000 0.03464 1.30000 1.59620 
0247  3.08333 1.11382 1.00000 1.00000 1.00000 0.03463 1.30000 1.06681 
0248  3.09444 1.00052 1.00000 1.00000 1.00000 0.03461 1.30000 1.00031 
0249  3.10556 1.36941 1.00000 1.00000 1.00000 0.03460 1.30000 1.20759 
0250  3.11667 2.74052 1.00000 1.00000 1.00000 0.03459 1.30000 1.83105 
0251  3.27917 1.78752 1.00000 1.00000 1.00000 0.03441 1.30000 1.41694 
0252  3.29028 1.22544 1.00000 1.00000 1.00000 0.03439 1.30000 1.12973 
